,hash,genre,faces_zs,gray_max_zs,gray_med_zs,gray_std_zs,max_b_zs,max_g_zs,max_r_zs,med_b_zs,med_g_zs,med_r_zs,std_b,std_g,std_r,hmax1_zs,hmax2_zs,hmax3_zs,smax1_zs,smax2_zs,smax3_zs,smed_zs,sstd,vmax1_zs,vmax2_zs,vmax3_zs,vmed_zs,vstd,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21,comp_22,comp_23,comp_24,comp_25
10,0cc7ea8e-1f5b-4b9a-a054-e2c9ab8a28cd,country,0.3364,-1.0256,-0.336,1.5936,-0.8964,-0.9798,-1.129,-0.1326,-0.272,-0.4791,90.6920,92.3403,92.6723,-0.9497,1.4496,1.4623,0.4601,0.3971,0.3761,-1.1202,75.3141,0.9215,-0.8941,0.0659,-0.613,93.4040,-0.8385,1.9218,-0.3187,0.8183,-0.1020,0.0228,0.2847,-0.1818,-0.0668,-0.0013,0.1419,0.0596,0.4627,0.2338,0.0458,-0.4765,-0.1896,0.3921,0.2464,-0.3733,0.0228,-0.4094,-0.0811,0.1616,0.3188
11,0de30e42-1f0a-4591-b72f-5343fa6002e9,pop,0.3364,1.5386,1.8297,2.4477,1.6157,1.4999,1.1874,1.982,1.7989,1.5737,110.6053,109.1845,106.4018,-0.9497,1.6068,1.4623,0.4601,0.3971,0.3761,-1.263,80.8205,0.9215,-0.0358,1.0095,1.4567,106.0052,-1.6151,0.1453,-0.1620,-0.7032,-0.8368,0.9294,0.7993,-0.2467,-0.0768,-0.4904,-0.0885,0.1589,0.1190,0.4563,-0.5117,-0.4218,0.1926,0.0650,0.0723,0.2461,-0.1105,-0.1248,-0.1834,0.1085,0.0473
12,0fdc7ecf-47a8-3f5d-bd85-2fd0a4f8438f,rock,-0.5529,1.4881,2.0507,1.514,1.5662,1.4511,1.1418,2.1547,2.04,1.7079,103.9956,100.9625,68.3034,1.7502,-1.1433,0.1451,0.4601,0.3971,-0.5937,-1.2947,99.3800,0.9215,0.8224,0.5377,1.58,67.6362,0.8485,-1.5540,-0.9783,0.1801,0.2614,0.0960,-0.2570,-0.0379,0.2314,-0.3064,0.4165,0.5690,-0.2745,-0.3947,-0.2041,0.2261,-0.4117,-0.5125,0.0051,0.2649,-0.3445,-0.4448,0.1916,0.3190,-0.3767
13,10b3fb12-1014-4cbf-be18-3feea3a619ca,hip-hop,-0.5529,-0.5208,-0.3066,-0.0106,-0.2337,-0.5991,-0.5271,-0.2045,-0.3855,-0.2241,55.8461,64.8217,62.7252,-0.9497,0.5067,0.4744,0.4601,0.3971,-0.5937,-0.1207,51.6958,-0.237,-0.4649,0.5377,-0.2704,62.4421,0.3702,0.8115,0.7167,0.4721,0.0236,-0.3857,0.3814,-0.3497,0.0367,-0.3174,-0.8642,0.5352,-0.3755,0.6072,0.4972,0.1406,0.3526,-0.3387,-0.2321,0.2561,-0.1454,-0.4164,0.8549,0.0600,-0.2301
14,10e2f3c0-140b-4342-9ad0-4f459bb6752c,rock,0.3364,-1.0256,0.5332,0.4552,-0.8964,-0.9798,1.1965,0.1983,0.423,0.5138,69.6747,72.2828,85.2946,-0.6412,-1.0648,-1.0074,0.4601,0.3971,-0.5937,0.7995,53.0206,0.9215,0.8224,0.0659,0.9358,77.7762,-1.4464,0.4658,-0.2306,-0.8620,-0.2184,1.2511,-0.1748,-0.6621,-0.0962,0.3051,-0.0705,-0.7058,0.2370,0.2676,-0.1854,0.1937,0.5493,-0.3080,-0.3537,0.0590,0.0786,-0.4261,0.0611,0.0014,-0.5110
15,1193941c-de68-3299-95b9-87b0922e27b0,hip-hop,1.2257,-0.8640,-0.7044,1.1629,-0.5601,-0.8627,-0.9922,-0.3771,-0.6408,-0.8816,76.9355,86.3154,84.1335,1.7502,0.1138,-1.172,0.4601,-0.5396,0.3761,-0.4697,69.0245,-1.0092,-0.4649,0.0659,-0.8735,80.1525,-1.1203,0.8292,-0.4067,-0.1110,0.6819,-0.0298,0.5096,-0.1774,0.1547,0.6745,0.8763,-0.2953,-0.3361,-0.4363,-0.6512,-0.4838,-0.0106,0.0797,-0.0980,-0.1262,-0.3876,-0.8116,0.1247,0.1768,0.2186
16,143d6997-43ba-4787-b5fc-f5205ff1bfc0,rock,-0.5529,1.2862,1.5939,-1.7671,1.3388,1.2656,0.9594,1.6512,1.5861,1.453,57.8192,29.4590,24.4665,1.7502,-0.9076,-1.172,0.4601,0.3971,0.3761,-1.1678,60.6334,0.5353,1.2515,0.5377,1.3059,24.4895,1.8290,0.2788,-0.4012,-0.3205,0.3571,0.8632,0.8670,0.4865,0.7730,-0.1456,0.2833,-0.5967,0.1969,-0.4039,-0.1508,0.6712,-0.4968,-0.1087,0.2242,-0.1606,-0.0851,0.2413,0.1374,-0.3629,-0.0542
17,177ff778-3f33-3f92-a949-95c99ee27145,electronic,-0.5529,-0.541,-0.1445,-0.7007,-0.3821,-0.521,-0.6729,-0.0319,-0.1444,-0.1571,46.5933,49.1444,51.1542,-0.7954,-1.0648,0.8859,-0.1324,0.8654,0.3761,-0.6759,29.4160,-0.237,-0.4649,-0.8777,-0.3252,51.5888,-0.1880,0.4188,1.0342,1.3760,0.2137,-0.4882,-0.7539,-0.1504,-0.5426,0.3314,-0.0690,0.2074,0.8251,-0.7646,-0.4077,-0.0246,-0.3700,-0.2632,0.0420,-0.3666,-0.5972,-0.1195,0.2880,-0.2109,-0.1586
18,18138722-2204-4d73-a4cc-65bb7337df50,rock,-0.5529,-0.8539,-1.2642,0.4058,-0.7579,-0.8236,-0.9466,-1.0532,-1.1798,-1.2841,68.6756,67.9036,81.2182,-0.1783,1.6068,0.6391,0.4601,0.3971,-2.0484,-0.4062,48.7874,-1.7815,-0.0358,1.0095,-1.4766,81.6177,-1.7513,1.1048,-0.7653,-0.3089,-0.1193,-0.1553,0.5221,-0.5689,0.0412,-0.4359,-0.0682,0.2903,0.1563,0.1925,-0.1141,-0.4937,-0.1326,0.2740,0.0578,0.1253,0.1992,-0.3684,0.1549,-0.0820,-0.0056
19,1946d124-1c89-4555-a535-835525abab2a,country,0.3364,-1.0256,0.1354,1.8116,-0.8964,-0.9798,-1.129,0.0113,0.1819,-0.0497,82.8078,97.5398,100.3254,-0.8726,-1.1433,-0.0195,0.4601,0.3971,-3.0182,-0.2793,76.2359,0.9215,-0.8941,0.0659,-0.0648,100.2114,-0.8330,1.6433,0.1048,0.1535,0.0722,-0.3144,0.2322,0.1342,-0.4777,-0.9583,0.5638,-0.2815,0.2879,0.1243,0.0425,-0.5031,-0.8010,-0.4349,0.2246,-0.3169,0.5994,-0.0575,-0.2793,-0.1134,-0.2081
20,1af96874-a467-4207-a66f-aa0c303b03a0,hip-hop,0.3364,1.4074,0.0028,1.3635,-0.8964,-0.8529,1.1965,-0.0894,-0.428,0.7419,90.8366,92.2568,88.2200,1.7502,-0.2789,-0.3488,0.4601,-1.9446,0.861,0.8471,85.9915,0.9215,0.8224,0.5377,0.5931,88.3068,-1.9027,0.8862,-0.3684,-0.6536,0.9516,-0.5651,0.5763,0.1255,0.1077,-0.5764,-0.0415,-0.1420,0.0364,0.0069,-0.4568,-0.1302,-0.5964,-0.1337,0.1260,-0.2246,-0.0788,-0.0936,-0.1704,0.2012,-0.4067
