,faces,filename,genre,hash,minNeighbors,scaleFactor
823,0,"['1994_1d4df2ef-a427-36c4-a6a3-cd09c5aa6ced_rock', 'jpg']",rock,1d4df2ef-a427-36c4-a6a3-cd09c5aa6ced,5,1.1
824,0,"['1994_1f0e0dec-1968-4a9f-90cc-d8643480e38f_electronic', 'jpg']",electronic,1f0e0dec-1968-4a9f-90cc-d8643480e38f,5,1.1
825,0,"['1994_1f0e0dec-1968-4a9f-90cc-d8643480e38f_pop', 'jpg']",pop,1f0e0dec-1968-4a9f-90cc-d8643480e38f,5,1.1
826,1,"['1994_1fdaf377-aa7b-4fad-af40-fa1626032505_hip-hop', 'jpg']",hip-hop,1fdaf377-aa7b-4fad-af40-fa1626032505,5,1.1
827,1,"['1994_20046f68-329d-497d-9375-80659b7094a6_pop', 'jpg']",pop,20046f68-329d-497d-9375-80659b7094a6,5,1.1
828,0,"['1994_20bbb50d-2a6a-378d-8d3c-8cbcfabe5751_hip-hop', 'jpg']",hip-hop,20bbb50d-2a6a-378d-8d3c-8cbcfabe5751,5,1.1
829,5,"['1994_21853b76-9630-4f1a-8588-3d004211572e_electronic', 'jpg']",electronic,21853b76-9630-4f1a-8588-3d004211572e,5,1.1
830,0,"['1994_22384986-46ce-4582-b388-bd90571a547c_pop', 'jpg']",pop,22384986-46ce-4582-b388-bd90571a547c,5,1.1
831,1,"['1994_23843a50-3a17-4e07-987d-11c311ad0235_country', 'jpg']",country,23843a50-3a17-4e07-987d-11c311ad0235,5,1.1
832,2,"['1994_23943394-4ef1-436a-bd6c-74e0e5bdd29f_hip-hop', 'jpg']",hip-hop,23943394-4ef1-436a-bd6c-74e0e5bdd29f,5,1.1
833,0,"['1994_23ab1566-e424-4f47-9f20-3044e4b2c1a8_electronic', 'jpg']",electronic,23ab1566-e424-4f47-9f20-3044e4b2c1a8,5,1.1
834,1,"['1994_23df2316-7e0a-3fad-a7fd-9f63379e4120_hip-hop', 'jpg']",hip-hop,23df2316-7e0a-3fad-a7fd-9f63379e4120,5,1.1
835,1,"['1994_25465697-fd17-4504-8be3-1491eda1f197_country', 'jpg']",country,25465697-fd17-4504-8be3-1491eda1f197,5,1.1
836,1,"['1994_25af7fe2-35b5-4675-b5c9-33f10739ae0d_pop', 'jpg']",pop,25af7fe2-35b5-4675-b5c9-33f10739ae0d,5,1.1
837,0,"['1994_25b217a4-bddd-45e7-9c9a-ef33810968c4_electronic', 'jpg']",electronic,25b217a4-bddd-45e7-9c9a-ef33810968c4,5,1.1
838,0,"['1994_26eb1786-66a3-4253-8c00-69c2d4a1da53_rock', 'jpg']",rock,26eb1786-66a3-4253-8c00-69c2d4a1da53,5,1.1
839,0,"['1994_28c0fb1f-8303-48be-8837-73dffe5b37a6_hip-hop', 'jpg']",hip-hop,28c0fb1f-8303-48be-8837-73dffe5b37a6,5,1.1
840,1,"['1994_294ef3de-8bc3-4b87-bb97-37db390a6197_pop', 'jpg']",pop,294ef3de-8bc3-4b87-bb97-37db390a6197,5,1.1
841,0,"['1994_29594a8d-1d61-4c86-ad05-2f5e25be9eed_rock', 'jpg']",rock,29594a8d-1d61-4c86-ad05-2f5e25be9eed,5,1.1
842,0,"['1994_29fa215c-12fe-4fa9-93bd-b57f75e537e9_hip-hop', 'jpg']",hip-hop,29fa215c-12fe-4fa9-93bd-b57f75e537e9,5,1.1
843,0,"['1994_2a8ea809-6582-40cc-8702-88433cbd8d1b_rock', 'jpg']",rock,2a8ea809-6582-40cc-8702-88433cbd8d1b,5,1.1
844,4,"['1994_2a95f3f0-5695-4b92-a58c-3852d1b31325_country', 'jpg']",country,2a95f3f0-5695-4b92-a58c-3852d1b31325,5,1.1
845,0,"['1994_2ad8f150-290d-4b8c-9070-310f03c8655a_electronic', 'jpg']",electronic,2ad8f150-290d-4b8c-9070-310f03c8655a,5,1.1
846,0,"['1994_2c781a00-943e-42f0-a4a0-a26559811a41_electronic', 'jpg']",electronic,2c781a00-943e-42f0-a4a0-a26559811a41,5,1.1
