Dateiname,Tag1,Tag1_P,Tag2,Tag2_P,Tag3,Tag3_P,Tag4,Tag4_P,Tag5,Tag5_P
1991_ae97eb23-501f-478f-9d1f-258094d7e47f_pop.jpg;no person,0.9987754,time,0.99681246,retro,0.99610424,shining,0.9542719,business,0.94670916,
1991_cb35a21f-f597-439a-99ae-4184a2c2d3bf_pop.jpg;one,0.98108876,illustration,0.9790395,food,0.9678298,adult,0.95761156,water,0.9525422,
1991_cd6100f2-cbbe-3703-916b-d3e35d9efd4a_rock.jpg;dog,0.9998886,canine,0.99803185,cute,0.9904716,animal,0.9896451,pet,0.9867331,
1992_06936d3f-551a-4f49-a717-148f5471ddee_hip-hop.jpg;illegal,0.986614,symbol,0.97856843,desktop,0.9569185,text,0.9477519,graffiti,0.93729275,
1992_15ad6386-d33b-480d-aca2-39b22526de23_rock.jpg;people,0.991907,music,0.98404336,dancing,0.97376883,festival,0.96784985,group,0.95898485,
1992_1a7189e6-b410-49d5-b064-69b173f0aeeb_rock.jpg;no person,0.98141056,religion,0.96324885,people,0.9412138,travel,0.93028307,one,0.9233886,
1992_2bd73f2b-9d42-4ea9-b5b2-1c91ad87a692_pop.jpg;illustration,0.9910196,business,0.9576814,technology,0.93724036,modern,0.93674695,vector,0.92767537,
1992_6d8ae022-8687-46ed-8755-045f73494fee_hip-hop.jpg;music,0.9926826,performance,0.99197805,people,0.9820798,festival,0.96432066,musician,0.9580996,
1992_708d027e-cd22-3470-a60e-1aec146a18a1_rock.jpg;retro,0.92225146,vintage,0.9056915,person,0.88639855,desktop,0.87239575,people,0.8701429,
1992_7d7aa4f7-8165-4dfb-b073-b0e1e1b8845a_hip-hop.jpg;people,0.962531,fun,0.94671595,bright,0.9442972,man,0.94409376,music,0.932424,
1992_808f4d7e-64ab-4e3a-8826-94d46c3451d1_country.jpg;people,0.9947276,monochrome,0.9894049,portrait,0.9873427,man,0.98512924,vertical,0.984934,
1992_85a9de98-ebe4-4134-81ed-ccd8d4b5cfeb_electronic.jpg;no person,0.98472416,music,0.98125106,retro,0.9692336,vintage,0.96654975,antique,0.94809914,
1992_8ca6058f-f7da-4106-9e9e-b2c00e2ba1ea_pop.jpg;people,0.9945782,adult,0.99298275,horizontal,0.9825525,portrait,0.98051643,vertical,0.972721,
1992_cff373a4-a3f5-47f1-9ae2-17f48e96f55a_rock.jpg;illustration,0.9852066,man,0.9480531,people,0.9256462,art,0.8798751,adult,0.8674028,
1992_d7471394-4eab-4a27-8b21-65024c07e753_rock.jpg;graffiti,0.9968786,dirty,0.98747885,artistic,0.9798917,art,0.9744337,creativity,0.969486,
1992_efa36c3d-2e8a-4cab-b3c5-32d12b3f07b0_electronic.jpg;people,0.9950845,portrait,0.9928957,adult,0.9829658,woman,0.9597386,veil,0.9557994,
1993_002877ac-67ec-49c0-b12f-68bc9b4ee1af_country.jpg;man,0.9677181,recreation,0.9379693,people,0.9254875,soccer,0.9055041,wear,0.90127254,
1993_04b56b33-9dc4-4cb6-90db-a7717f5d3cda_country.jpg;portrait,0.99226797,people,0.9837886,adult,0.97520626,woman,0.97497064,one,0.96100485,
1993_06dac49b-a000-40c6-a4bc-0d9105cbed28_country.jpg;vertical,0.98049414,cemetery,0.97278595,tombstone,0.9598099,cemetary,0.95543754,outdoors,0.95218,
1993_09a7cf2a-c5f0-4d60-b98d-7cb2dc085128_rock.jpg;wet,0.9946947,wave,0.989622,motion,0.98103833,swimming,0.9783862,splash,0.9737816,
1993_1932563f-b7ac-43db-9b35-01bd11fd5299_country.jpg;music,0.9333664,performance,0.9147775,people,0.91284114,man,0.9074486,festival,0.9014486,
1993_3a07b127-5dd2-4133-9e84-e1d9d55eafc0_rock.jpg;nature,0.9542706,illustration,0.9537766,old,0.94360507,symbol,0.9354798,art,0.93325245,
1993_40cc2ee1-0dcc-49f2-aa88-881cfc64c4be_hip-hop.jpg;outdoors,0.98796165,people,0.9809464,landscape,0.9734408,horizontal,0.96919817,nature,0.963586,
1993_4d30c9fb-512a-48d8-9a27-55314e788c23_pop.jpg;graffiti,0.9815506,people,0.97817755,adult,0.9741569,wear,0.97352767,man,0.9667545,
1993_52ff2a91-e2c9-3045-9dff-879dd4864426_rock.jpg;people,0.9865357,adult,0.97565246,woman,0.9698143,hand,0.96910936,one,0.967487,
1993_5b426b12-332e-49cc-a1a3-d921c668d095_country.jpg;redhead,0.98941875,woman,0.9888048,fashion,0.98050857,people,0.9470211,portrait,0.9110447,
1993_5c3608b9-c1a6-3279-aade-3a408d8ed9b5_electronic.jpg;music,0.99319774,musician,0.983136,man,0.9738121,portrait,0.9723264,festival,0.97040325,
1993_610c553f-6d11-4427-bf0b-77226960b901_pop.jpg;people,0.9913101,adult,0.98652875,one,0.9812052,wear,0.9781511,portrait,0.96842235,
1993_61a92fac-a3a9-43a5-97f4-fc79e6e44cdd_pop.jpg;portrait,0.9881121,man,0.98587954,people,0.9818287,adult,0.96873695,one,0.9631456,
1993_691e8098-5ca0-4a6a-af1f-256d2fc79d10_rock.jpg;people,0.99467707,child,0.9923811,reclining,0.98926234,facial expression,0.9868784,portrait,0.986783,
1993_8068e914-f3a9-4e3c-a9dd-511ec459a626_pop.jpg;people,0.9957688,group,0.9845433,man,0.97607815,adult,0.95901924,woman,0.94697493,
1993_846f3d24-9006-4ef3-9f4e-ef13317d98a0_hip-hop.jpg;people,0.9918658,car,0.98600304,transportation system,0.9819339,adult,0.9743618,man,0.9711106,
1993_89f28dd9-568d-45aa-8a3b-15389bcb81f4_rock.jpg;horizontal,0.9946928,outdoors,0.96283734,heat,0.95385635,underwater,0.94903165,science,0.93462753,
