,filename,genre,hash,minNeighbors,people,scaleFactor
67,"['1993_ab48b1da-7190-4f3a-b1c3-78b4778128a7_hip-hop', 'jpg']",hip-hop,ab48b1da-7190-4f3a-b1c3-78b4778128a7,4,0,1.09
68,"['1993_ae9f317a-a627-4f97-a3b3-72ac73801344_pop', 'jpg']",pop,ae9f317a-a627-4f97-a3b3-72ac73801344,4,0,1.09
69,"['1993_cb7ed05e-0466-42af-8f0e-9766f46c1c17_hip-hop', 'jpg']",hip-hop,cb7ed05e-0466-42af-8f0e-9766f46c1c17,4,0,1.09
70,"['1993_deceeaef-f03d-4c62-af31-5caf7482898b_pop', 'jpg']",pop,deceeaef-f03d-4c62-af31-5caf7482898b,4,0,1.09
71,"['1993_f76fa63b-7797-46e1-949c-b646b2cc9fe8_country', 'jpg']",country,f76fa63b-7797-46e1-949c-b646b2cc9fe8,4,1,1.09
72,"['1994_01b387c3-0977-47a4-8def-1aae48b79447_pop', 'jpg']",pop,01b387c3-0977-47a4-8def-1aae48b79447,4,0,1.09
73,"['1994_04949aa9-ed92-4520-a33c-b7b6b4b3f7c6_hip-hop', 'jpg']",hip-hop,04949aa9-ed92-4520-a33c-b7b6b4b3f7c6,4,0,1.09
74,"['1994_08f7953d-4f06-45c5-8b2f-e837c1d0375c_country', 'jpg']",country,08f7953d-4f06-45c5-8b2f-e837c1d0375c,4,0,1.09
75,"['1994_22384986-46ce-4582-b388-bd90571a547c_pop', 'jpg']",pop,22384986-46ce-4582-b388-bd90571a547c,4,1,1.09
76,"['1994_2c781a00-943e-42f0-a4a0-a26559811a41_electronic', 'jpg']",electronic,2c781a00-943e-42f0-a4a0-a26559811a41,4,0,1.09
77,"['1994_3ddee01e-da2e-438e-b353-8fa3dab246de_electronic', 'jpg']",electronic,3ddee01e-da2e-438e-b353-8fa3dab246de,4,0,1.09
78,"['1994_637df077-d40a-4e72-bc02-9ace96cd3564_country', 'jpg']",country,637df077-d40a-4e72-bc02-9ace96cd3564,4,0,1.09
79,"['1994_669e7e2a-e1f9-49f9-972b-0e96ccf60ddc_hip-hop', 'jpg']",hip-hop,669e7e2a-e1f9-49f9-972b-0e96ccf60ddc,4,0,1.09
80,"['1994_707c7c8a-b092-4af9-abf4-2332471cb426_hip-hop', 'jpg']",hip-hop,707c7c8a-b092-4af9-abf4-2332471cb426,4,0,1.09
81,"['1994_7bdec870-d321-4b69-a424-35d5e67ce442_hip-hop', 'jpg']",hip-hop,7bdec870-d321-4b69-a424-35d5e67ce442,4,0,1.09
82,"['1994_8bd26f90-a889-4824-9cc7-74e2393707a6_country', 'jpg']",country,8bd26f90-a889-4824-9cc7-74e2393707a6,4,0,1.09
83,"['1994_96316bce-982a-495d-9921-2494acd756f3_electronic', 'jpg']",electronic,96316bce-982a-495d-9921-2494acd756f3,4,0,1.09
84,"['1994_97410570-1112-465d-9eff-2e721e57e738_hip-hop', 'jpg']",hip-hop,97410570-1112-465d-9eff-2e721e57e738,4,1,1.09
85,"['1994_9b55b5f1-4ecf-49ef-8c13-442b01f8f8bc_electronic', 'jpg']",electronic,9b55b5f1-4ecf-49ef-8c13-442b01f8f8bc,4,0,1.09
86,"['1994_a65038f6-3936-4681-ade5-6f32cfa9487d_electronic', 'jpg']",electronic,a65038f6-3936-4681-ade5-6f32cfa9487d,4,0,1.09
87,"['1994_c5dbbbd9-c48b-489e-a2d6-f19122d652af_rock', 'jpg']",rock,c5dbbbd9-c48b-489e-a2d6-f19122d652af,4,1,1.09
88,"['1994_c938d527-546b-451a-99d1-e883a490e0c2_pop', 'jpg']",pop,c938d527-546b-451a-99d1-e883a490e0c2,4,0,1.09
89,"['1994_d939d8f4-6e1e-48c5-9ee5-c01bb41404e4_pop', 'jpg']",pop,d939d8f4-6e1e-48c5-9ee5-c01bb41404e4,4,0,1.09
90,"['1994_dbe0fa62-eb1e-4861-8818-48bda443cd39_electronic', 'jpg']",electronic,dbe0fa62-eb1e-4861-8818-48bda443cd39,4,0,1.09
91,"['1994_f4ba50c7-25b4-4613-a709-664c866047ee_rock', 'jpg']",rock,f4ba50c7-25b4-4613-a709-664c866047ee,4,0,1.09
92,"['1995_0d225de3-5dcf-4219-93e0-be16ab17afa7_rock', 'jpg']",rock,0d225de3-5dcf-4219-93e0-be16ab17afa7,4,0,1.09
93,"['1995_0dcb1330-c599-44d0-9993-9b8b84034890_country', 'jpg']",country,0dcb1330-c599-44d0-9993-9b8b84034890,4,1,1.09
94,"['1995_1f12e476-f578-4a07-bc6f-578afed93e95_electronic', 'jpg']",electronic,1f12e476-f578-4a07-bc6f-578afed93e95,4,0,1.09
95,"['1995_2f46bec5-6923-454a-ad19-1f1d4c6e5b02_hip-hop', 'jpg']",hip-hop,2f46bec5-6923-454a-ad19-1f1d4c6e5b02,4,0,1.09
96,"['1995_31d4a361-ee0a-44f2-8db8-b0ffc8179d2e_electronic', 'jpg']",electronic,31d4a361-ee0a-44f2-8db8-b0ffc8179d2e,4,0,1.09
97,"['1995_32eace38-f6b5-477b-9b6a-6370775ebf7b_country', 'jpg']",country,32eace38-f6b5-477b-9b6a-6370775ebf7b,4,0,1.09
98,"['1995_483ac6b2-555f-41ad-9a8c-7ff51e887b5d_electronic', 'jpg']",electronic,483ac6b2-555f-41ad-9a8c-7ff51e887b5d,4,0,1.09
99,"['1995_4df2f9a7-8d62-4895-a28c-c5df3e666ad5_rock', 'jpg']",rock,4df2f9a7-8d62-4895-a28c-c5df3e666ad5,4,0,1.09
100,"['1995_50b4286d-282e-47ee-8a70-6f2357dc6919_rock', 'jpg']",rock,50b4286d-282e-47ee-8a70-6f2357dc6919,4,0,1.09
101,"['1995_55b3afe2-c079-42e4-84d5-4a7e5bd4d8bb_pop', 'jpg']",pop,55b3afe2-c079-42e4-84d5-4a7e5bd4d8bb,4,1,1.09
102,"['1995_711946e6-0c3e-3b60-92dd-20e3ced9d0e5_electronic', 'jpg']",electronic,711946e6-0c3e-3b60-92dd-20e3ced9d0e5,4,0,1.09
103,"['1995_72cbb9e5-99aa-45ef-a762-8dfb6eb3674d_electronic', 'jpg']",electronic,72cbb9e5-99aa-45ef-a762-8dfb6eb3674d,4,0,1.09
104,"['1995_737fe3c1-8b60-42d6-924f-056510d7e642_rock', 'jpg']",rock,737fe3c1-8b60-42d6-924f-056510d7e642,4,0,1.09
105,"['1995_77f32a9c-8080-497b-b0d9-f93e21a5f93c_rock', 'jpg']",rock,77f32a9c-8080-497b-b0d9-f93e21a5f93c,4,1,1.09
106,"['1995_802bf5d5-9257-4d29-84af-edf61bc0c91c_country', 'jpg']",country,802bf5d5-9257-4d29-84af-edf61bc0c91c,4,2,1.09
