,file,hmax1,hmax2,hmax3,smax1,smax2,smax3,smed,sstd,vmax1,vmax2,vmax3,vmedian,vstd
157,1992_1a7189e6-b410-49d5-b064-69b173f0aeeb_rock,20,30,0,90,80,40,5767.0,41587.59765625,90,30,20,26501.5,10642.3720703125
158,1999_3a8c1b8b-30fa-33c3-9ef8-ec9f542f9491_rock,40,50,10,70,30,60,29507.5,14010.7919921875,60,50,70,14586.0,30828.11328125
159,2004_74ef9d9e-298b-460a-8730-5222f4eb2374_pop,110,100,0,90,80,70,37.0,71881.5859375,90,60,80,10368.0,35782.22265625
160,2006_efe4802f-5faf-39b2-8e62-ea01b9906460_country,60,70,30,70,90,80,5008.0,32356.54296875,60,50,30,11844.5,37541.7265625
161,2006_49133b41-e394-34cd-91b0-3795f9208bf3_electronic,10,0,20,90,80,70,13442.5,33447.55078125,90,60,70,24968.5,19316.7421875
162,2000_d9de29b5-24cb-4343-8ce4-a68c2c378423_country,60,50,10,80,90,70,1117.0,42305.96875,40,90,80,25123.5,20660.431640625
163,2005_6eb585f4-b80c-452a-9bc5-149ad3b90e78_rock,0,40,20,90,0,20,1973.5,48284.94140625,90,0,80,2152.5,48522.85546875
164,2006_daf41569-527f-4ab1-8cda-d28a438873cc_electronic,0,10,110,80,90,70,59.0,49311.32421875,90,40,30,17937.5,24147.61328125
165,1995_737fe3c1-8b60-42d6-924f-056510d7e642_rock,0,110,10,80,50,40,22407.0,18904.392578125,80,90,70,28648.0,18893.166015625
166,1991_4006541b-afd8-4687-ae31-7195d9d92e91_country,10,30,20,90,80,70,2011.0,45869.5703125,80,70,90,23923.5,13519.5595703125
167,2002_ec1da0fc-d7f4-417f-abaf-19c3919f5b85_rock,40,10,0,40,50,60,8725.0,37561.515625,70,80,60,13196.0,26464.591796875
168,2006_b5d8192f-6924-4e2c-952b-b10b69eb2cfa_electronic,0,30,40,90,0,80,516.5,39016.19921875,90,0,80,5793.0,38692.1328125
169,1997_04342860-0351-47fd-9a9a-00cf59b9c579_country,0,100,40,90,80,30,21876.0,20587.740234375,60,50,70,689.0,37816.0859375
170,2002_576deb93-2d48-4304-b649-4202223f317b_rock,100,80,110,90,80,70,500.0,58652.6328125,90,50,40,10386.0,49273.546875
171,2003_3553a37d-92cd-3d5a-bd6f-0191713daa91_rock,30,20,0,90,70,80,10577.5,27532.36328125,50,40,80,28812.0,16807.91796875
172,1991_18116341-4a97-4bf5-8a21-f40dbf3904dc_country,0,10,20,80,70,90,495.0,55839.6328125,80,70,60,16937.0,25472.447265625
173,2000_5bc069ce-749a-4c88-a3d6-bbb9fa9642c2_electronic,0,0,0,90,0,0,0.0,74970.3359375,0,80,10,3775.0,57430.4765625
174,1996_f123a7bf-01c9-458f-8fa9-6cf087d3aadf_country,10,20,30,90,60,70,822.5,72895.0078125,80,70,90,3568.5,32069.447265625
175,1998_a748a984-1790-48bf-9f92-15d5f8152fe2_country,60,10,20,90,70,40,20055.0,29894.623046875,60,50,30,12487.0,28368.263671875
176,2001_1a806523-6e3f-4ece-ac10-d470fc1d09bf_country,0,110,40,80,90,70,4258.0,43252.046875,80,70,90,20740.5,19711.634765625
177,2003_4280a2de-5ed0-357a-909e-92fed90dce09_hip-hop,0,10,20,90,80,70,5650.0,46311.53515625,0,60,20,20609.0,14191.5419921875
178,1998_46763006-00e6-4fd4-8788-5e75f5e7f170_hip-hop,0,110,50,90,80,70,3199.5,56317.2421875,90,60,50,6673.5,58145.19140625
179,2008_d4cccd1c-61fb-4939-aa53-49798314724e_rock,0,110,40,90,80,70,2949.5,61655.00390625,90,10,20,9345.5,45912.578125
180,2004_e90554b3-6ad4-4359-b917-85a22fcc0753_pop,20,0,10,50,60,40,1177.5,67785.78125,90,80,70,152.0,64766.18359375
181,2002_d24e7761-a7c4-48f6-bd0a-8fa892147191_country,40,30,0,90,80,70,32.0,70587.515625,60,50,90,20211.0,21795.88671875
182,1994_a65038f6-3936-4681-ade5-6f32cfa9487d_electronic,10,20,30,90,80,70,243.0,48885.859375,90,80,70,9261.0,33238.796875
183,2003_f954f852-11e3-46be-ad30-fd3de8e8a5e4_hip-hop,0,70,10,90,80,60,8113.5,43856.5,60,50,70,16635.0,28430.966796875
184,2007_e50d6802-fa4c-474f-a003-1d00b89f73c3_electronic,0,30,20,90,80,0,4300.5,56571.046875,90,0,10,12472.5,23927.701171875
185,1996_2825df2f-bd7b-47d9-9a51-79e9b3b21ba2_hip-hop,50,40,60,80,70,90,10459.0,24822.92578125,30,20,40,12140.5,24770.251953125
186,1997_f0781963-a86c-44b8-b6f3-6f9982832e3d_electronic,110,100,0,90,80,70,7378.5,47636.359375,90,40,50,15380.5,40878.453125
187,1999_4fc77d6e-e721-4c57-b6e4-61cad4a2b5ed_hip-hop,0,110,30,90,80,70,4144.0,59631.94140625,80,90,70,21301.5,19120.8515625
188,2004_5ea95501-8ae3-461c-b4ec-c9aa83e61fc9_electronic,40,50,30,90,80,70,14770.0,34949.75,90,70,60,12153.5,25587.40625
189,2005_091786c8-db0d-4ce9-8a60-f13bda4abfd9_hip-hop,30,20,0,90,80,70,31.0,65235.15234375,50,60,40,16080.0,27170.23828125
190,1996_dd51cabe-c150-38cf-b0cd-ebc9e5c9994f_rock,0,10,20,90,80,70,114.5,65134.390625,90,80,70,2992.5,49522.5390625
191,1997_5c2103db-5dab-469f-9697-02c9e542ad4a_country,0,10,80,90,80,70,1077.0,44243.0390625,60,80,70,17886.0,26454.896484375
192,2002_75b18e80-d108-4055-b26a-79ce08728d45_hip-hop,10,70,0,90,70,80,10978.0,27910.197265625,40,60,50,22267.5,19581.564453125
193,2003_345eee80-84f0-4f12-8c72-807d7e5038ed_electronic,50,40,0,90,80,70,402.0,65070.640625,90,60,80,13760.5,29573.8203125
194,2008_7db4927b-6dd8-4e78-abc5-ba51ff5cd9d5_country,110,0,10,80,90,50,16048.0,25285.9375,90,80,60,12367.0,27676.123046875
195,2006_6a76b16c-be39-3175-a4e8-8ed2ac969a6d_rock,60,110,0,90,40,80,5755.5,37581.65625,60,70,50,11708.5,37703.0234375
196,2000_757c481b-c243-498d-bba9-91dec78a49ec_rock,0,10,30,90,80,70,4425.0,49360.55078125,90,60,70,25351.5,19358.212890625
197,2000_7e0c0c74-1954-4591-98e2-2d26d6ada54c_electronic,70,80,100,30,80,40,26900.0,12617.98046875,40,50,60,5791.0,40740.77734375
198,2006_2c8efc87-84d5-4519-8898-934c82c6bf46_rock,110,0,100,90,80,70,4444.5,43168.3359375,90,60,40,26207.0,14518.6240234375
199,2002_f0d5ab53-cfa7-4877-bf43-6348c348eb7f_country,30,50,10,90,80,70,0.0,74042.6171875,80,90,70,255.0,41494.640625
200,2002_02d63f84-fd12-4611-b612-d8e4b058b5f2_electronic,110,40,30,40,60,50,22673.0,18963.5859375,80,60,70,17124.5,25090.2890625
201,1998_b58b451e-77e8-4d11-a3ed-99a64df539d5_electronic,50,40,60,90,80,70,12143.0,28653.5703125,60,70,50,30349.5,14135.3447265625
202,2008_e686f0f9-d7fc-4db3-b918-542e6963ebec_pop,0,10,80,80,90,70,829.0,41481.53125,20,80,40,12851.5,40816.4921875
203,2002_67cf06d4-c23f-4720-9d08-aecea1e22b79_pop,100,110,30,90,80,70,4690.5,38905.63671875,80,60,50,22897.0,21854.91015625
204,1995_ea312cf2-017e-4362-be40-588bfea67fff_country,10,0,20,90,80,70,556.0,50431.28515625,90,80,70,13842.0,26089.06640625
205,1994_8bd26f90-a889-4824-9cc7-74e2393707a6_country,40,100,30,90,80,70,96.0,55536.51953125,60,90,70,17104.0,24528.42578125
206,1992_d7471394-4eab-4a27-8b21-65024c07e753_rock,10,80,0,90,80,70,4084.0,48261.2265625,90,80,40,15333.0,22396.33203125
