,genre,hash,histmax_b,histmax_g,histmax_r,histmed_b,histmed_g,histmed_r,histstd_b,histstd_g,histstd_r
340,country,e7b6c232-063d-4f9e-a6a6-c3af8337199a,0,0,0,338.0,277.0,381.0,0.0,0.0,0.0
341,rock,ca485ab0-da87-4fdf-9564-6664f23a7945,0,0,0,211.0,0.0,0.0,0.0,0.0,0.0
342,pop,c938d527-546b-451a-99d1-e883a490e0c2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
343,country,1932563f-b7ac-43db-9b35-01bd11fd5299,0,0,0,43673.0,32468.0,27988.0,0.0,0.0,0.0
344,rock,8b717570-1fc5-41cc-b05a-b0354414679a,0,0,0,1964.0,111.0,0.0,0.0,0.0,0.0
345,rock,196e0ccc-8976-45af-a865-b109218539c3,0,0,0,17.0,0.0,0.0,0.0,0.0,0.0
346,hip-hop,3fb4454a-64b6-4981-8748-4cdd889fe04b,0,0,0,10479.0,8893.0,16788.0,0.0,0.0,0.0
347,electronic,6ac9f4c6-3f11-44e6-872a-5ae6fa8b15fe,0,0,0,152.0,152.0,152.0,0.0,0.0,0.0
348,pop,e3c33f03-3324-3ace-b5e2-887dba7795fd,0,0,0,5561.0,717.0,13347.0,0.0,0.0,0.0
349,rock,50b4286d-282e-47ee-8a70-6f2357dc6919,0,0,0,1.0,37.0,256.0,0.0,0.0,0.0
350,rock,65bbd028-3343-4943-84a2-ad9fd51350fd,0,0,0,1943.0,0.0,1009.0,0.0,0.0,0.0
351,electronic,2c781a00-943e-42f0-a4a0-a26559811a41,0,0,0,157.0,3.0,77.0,0.0,0.0,0.0
352,rock,3f6ba929-ff4a-4af8-a896-2803ca3112c0,0,0,0,77.0,2819.0,0.0,0.0,0.0,0.0
353,rock,7f113627-ef05-4c70-aa80-8ca90e15df4c,0,0,0,10654.0,4641.0,1452.0,0.0,0.0,0.0
354,electronic,5528841d-3e6f-4e4c-97f9-e1d1cc196206,0,0,0,963.0,8.0,8.0,0.0,0.0,0.0
355,hip-hop,94638975-a7ed-4d4b-be00-960c89c55027,0,0,0,16037.0,7750.0,5606.0,0.0,0.0,0.0
356,pop,84c9200f-d9d7-48c0-a274-2df3f1c9a8ba,0,0,0,30618.0,18940.0,19374.0,0.0,0.0,0.0
357,pop,610c553f-6d11-4427-bf0b-77226960b901,0,0,0,508.0,12.0,6.0,0.0,0.0,0.0
358,electronic,fc648794-6666-4a13-83e3-0f20dc8a4c0c,0,0,0,1786.0,0.0,0.0,0.0,0.0,0.0
359,rock,167b51f4-1f76-4bf0-8626-fe4e93bb993f,0,0,0,267.0,0.0,0.0,0.0,0.0,0.0
360,country,04b56b33-9dc4-4cb6-90db-a7717f5d3cda,0,0,0,230.0,123.0,0.0,0.0,0.0,0.0
361,rock,1cd772fd-838a-4a20-b1d7-f6d40877a60b,0,0,0,1453.0,340.0,2006.0,0.0,0.0,0.0
362,pop,708f085d-210a-4b81-9f31-51130dc11d1c,0,0,0,112.0,18.0,0.0,0.0,0.0,0.0
363,pop,b0beb1c8-1ed7-3dda-a77a-ad48fde73104,0,0,0,22.0,0.0,0.0,0.0,0.0,0.0
364,hip-hop,cc491072-7ed0-40c1-a36b-4499e86de2b5,0,0,0,21.0,51.0,8.0,0.0,0.0,0.0
365,country,88a77286-9fef-405b-be10-a2f12877cb22,0,0,0,1159.0,380.0,426.0,0.0,0.0,0.0
366,hip-hop,41e7289c-9db7-4a4e-9bfb-54e0a81ba57c,0,0,0,15.0,0.0,0.0,0.0,0.0,0.0
367,hip-hop,846f3d24-9006-4ef3-9f4e-ef13317d98a0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
368,country,ee553dec-4f1a-4d55-8146-32151ee4a466,0,0,0,28749.0,29055.0,29544.0,0.0,0.0,0.0
369,rock,ea074fb8-888d-42a0-b2f9-d73b0039f5c0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0
370,electronic,de32ea23-1f25-4359-93ee-afdc9de2b6dc,0,0,0,1961.0,861.0,43.0,0.0,0.0,0.0
371,hip-hop,f7b5f3c0-a688-4433-85bf-f478ddf5edff,0,0,0,24174.0,10092.0,325.0,0.0,0.0,0.0
372,electronic,df091849-095e-433f-b451-3adecf294578,0,0,0,206879.0,206879.0,206879.0,0.0,0.0,0.0
373,country,5d7e08dc-461f-48ad-b27e-ebf35d41bca7,0,0,0,124.0,170.0,36.0,0.0,0.0,0.0
374,hip-hop,0f5f0366-f199-46dd-bbbd-34b282890e91,0,0,0,45013.0,43632.0,41316.0,0.0,0.0,0.0
375,rock,89f28dd9-568d-45aa-8a3b-15389bcb81f4,0,0,0,1573.0,31220.0,8467.0,0.0,0.0,0.0
376,pop,cd31e6f9-152d-45c4-ae33-431266a19e82,0,0,0,10594.0,3049.0,736.0,0.0,0.0,0.0
377,pop,d0374fd8-223a-41cd-ae53-fc96dad1edc2,0,0,0,819.0,379.0,164.0,0.0,0.0,0.0
378,hip-hop,bfdf5e10-043e-47fb-bbde-3dcd16e13fc5,0,0,0,121261.0,124508.0,135271.0,0.0,0.0,0.0
379,electronic,08eba0cf-3a36-4655-9bff-ce2518934a21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
380,rock,3749d18e-97f4-4b11-b063-8fa32ac21a99,0,0,0,5430.0,1569.0,124.0,0.0,0.0,0.0
381,electronic,711946e6-0c3e-3b60-92dd-20e3ced9d0e5,0,0,0,2902.0,3731.0,568.0,0.0,0.0,0.0
