;Unnamed: 0;genre;hash;histmax;histmed;histstd
0;0;hip-hop;1193941c-de68-3299-95b9-87b0922e27b0;-0.7337993857053428;0.0;-0.5367382774673369
1;1;country;28d79e63-2e5a-404d-b95f-f1b383babcfe;-0.7337993857053428;0.0;-0.16770853351477302
2;2;country;3950d762-f987-46ac-8044-86d90e40dd5d;1.3627702877384937;0.0;-0.6315309152214836
3;3;rock;3f6ba929-ff4a-4af8-a896-2803ca3112c0;-0.7337993857053428;0.0;-0.3596867451091733
4;4;rock;491ded48-ec70-42cd-bba3-7fc4b0115f56;-0.7337993857053428;0.0;2.233686239815323
5;5;country;498f132b-c8a3-4d51-a906-367704f692ae;1.3627702877384937;0.0;-0.4471177178433461
6;6;electronic;55267b7f-24b1-3180-b988-4990e07f88c8;-0.7337993857053428;0.0;-0.49696538422448633
7;7;hip-hop;67ebbc43-0415-4a07-90b9-3f8f8be296eb;-0.7337993857053428;0.0;2.578574495784679
8;8;electronic;83219409-a39c-3c3c-9928-06f0eac04423;-0.7337993857053428;0.0;-0.18115905852873346
9;9;pop;912a8e16-3730-46e4-847d-dfba119df13a;1.3627702877384937;0.0;-0.5319998314300695
10;10;country;d7bd5278-6a18-4542-a1be-34ab59d050b7;1.3627702877384937;0.0;-0.5772800108182798
11;11;rock;d8e9e0f9-7ced-4176-a935-cfac17409d10;-0.7337993857053428;0.0;-0.2901498906640406
12;12;country;f4afbe11-984e-4865-9677-b244dce5c8ed;-0.7337993857053428;0.0;1.2502305857902223
13;13;electronic;052c18c4-2fd7-4be8-bf9e-c538d131a039;1.3627702877384937;0.0;0.3316138079334193
14;14;country;1174e529-a321-4a65-8c02-6dcbd573a383;-0.7337993857053428;0.0;-0.5009285874834891
15;15;country;18116341-4a97-4bf5-8a21-f40dbf3904dc;1.3627702877384937;0.0;-0.47122263419918675
16;16;country;209058f3-4f55-4be0-81c4-a5c4f9ad9934;-0.7337993857053428;0.0;-0.5909626303087965
17;17;electronic;2369662f-fa9a-4d51-b68e-00133f6a32fe;-0.7337993857053428;0.0;0.03161596221360499
18;18;hip-hop;23933dbe-e90d-4c83-b9f8-286039b4c2d7;-0.7337993857053428;0.0;-0.40066044647473553
19;19;country;29adc87d-8df0-4a66-8e26-10cb67a9461d;1.3627702877384937;0.0;-0.4639765233883851
20;20;electronic;34d4362f-941e-461c-b994-792e0dff242d;1.3627702877384937;0.0;0.5666340269168925
21;21;country;4006541b-afd8-4687-ae31-7195d9d92e91;-0.7337993857053428;0.0;-0.5697082039225165
22;22;rock;4349b090-8599-4151-b5ba-a94ac327933c;-0.7337993857053428;0.0;-0.340817508838779
23;23;country;4362b319-05ad-4923-a9fe-20240eb7b174;1.3627702877384937;0.0;-0.4578276765426043
24;24;country;464721f0-91a9-42fc-b286-904106fce287;1.3627702877384937;0.0;-0.6368957326277591
25;25;rock;466c6528-69ca-4536-b12b-ada285318dd6;1.3627702877384937;0.0;-0.6146378838146563
26;26;country;754faecf-8687-4e02-9fd3-e1165d8b7f28;-0.7337993857053428;0.0;-0.6413270494088457
27;27;rock;7f113627-ef05-4c70-aa80-8ca90e15df4c;-0.7337993857053428;0.0;0.21887336149434522
28;28;country;9b125676-b2fc-4eaa-baf0-366fbbca2c2b;-0.7337993857053428;0.0;-0.07368735596296884
29;29;pop;9b859598-af45-3927-9d2a-a8581d143b4f;-0.7337993857053428;0.0;1.0548735228862487
30;30;rock;9be99ebf-9486-4981-a13b-d1c960bc9ca7;-0.7337993857053428;0.0;-0.37782756550683866
31;31;electronic;9d5166bc-4369-3192-86b9-859d77dec9ae;1.3627702877384937;0.0;2.0377235951850365
32;32;hip-hop;a9aff52b-0475-4c15-a4fa-117886c99a06;-0.7337993857053428;0.0;-0.326207513928108
33;33;pop;ae97eb23-501f-478f-9d1f-258094d7e47f;-0.7337993857053428;0.0;-0.031519982672813626
34;34;pop;cb35a21f-f597-439a-99ae-4184a2c2d3bf;1.3627702877384937;0.0;-0.5588898518587412
35;35;rock;cd6100f2-cbbe-3703-916b-d3e35d9efd4a;1.3627702877384937;0.0;-0.6309298642189716
36;36;hip-hop;06936d3f-551a-4f49-a717-148f5471ddee;-0.7337993857053428;0.0;0.37520149016842436
37;37;rock;15ad6386-d33b-480d-aca2-39b22526de23;-0.7337993857053428;0.0;-0.14860468164355442
38;38;rock;1a7189e6-b410-49d5-b064-69b173f0aeeb;-0.7337993857053428;0.0;-0.5303513030664079
39;39;pop;2bd73f2b-9d42-4ea9-b5b2-1c91ad87a692;1.3627702877384937;0.0;2.602449043934422
40;40;hip-hop;6d8ae022-8687-46ed-8755-045f73494fee;-0.7337993857053428;0.0;-0.25858925588992493
41;41;rock;708d027e-cd22-3470-a60e-1aec146a18a1;-0.7337993857053428;0.0;-0.33855047930222987
42;42;hip-hop;7d7aa4f7-8165-4dfb-b073-b0e1e1b8845a;-0.7337993857053428;0.0;-0.5663487607502042
43;43;country;808f4d7e-64ab-4e3a-8826-94d46c3451d1;1.3627702877384937;0.0;-0.23077248004952575
44;44;electronic;85a9de98-ebe4-4134-81ed-ccd8d4b5cfeb;-0.7337993857053428;0.0;-0.2671950865673492
45;45;pop;8ca6058f-f7da-4106-9e9e-b2c00e2ba1ea;-0.7337993857053428;0.0;-0.44629471250803615
46;46;rock;cff373a4-a3f5-47f1-9ae2-17f48e96f55a;1.3627702877384937;0.0;0.7240004480792755
47;47;rock;d7471394-4eab-4a27-8b21-65024c07e753;-0.7337993857053428;0.0;-0.5967395677875389
