,genre,gray_max,gray_med,gray_std,hash
65,rock,-0.0463,-0.0119,0.3501,5d44d312-db52-3c11-a03a-39fab7885681
66,pop,1.5083,1.7118,-0.9889,5f4b6757-6712-4f9b-885c-3ba76b850b77
67,rock,-1.0256,-0.2034,0.2416,602dcc18-1c1e-45a4-89ec-6339b00ee276
68,rock,1.5487,0.6363,1.7031,603263dc-eacb-485d-91c2-51a4dafa9ce6
69,country,-0.7732,-1.1611,-1.781,60e09c01-7627-42ad-a9d7-b98524b5e737
70,pop,-0.9347,-1.2053,0.1344,611b3b23-55ba-4351-8565-99f14b222868
71,hip-hop,-0.965,-0.6602,0.3235,61770233-7a49-4566-b6d4-9ee3bec8c147
72,pop,0.7411,0.7542,0.216,626cd27c-31dc-358f-8074-78b67b985c05
73,rock,1.5184,0.7394,0.2086,674c9265-3d81-3c7f-bbe8-6b8c0aa6b3f7
74,hip-hop,-1.0256,-1.5294,0.0267,67ebbc43-0415-4a07-90b9-3f8f8be296eb
75,country,-0.9044,-0.616,-0.0737,6948898f-73d4-4b73-b078-cb13a78ba8fd
76,rock,-0.8035,-0.174,0.5168,6d0f44e7-3ba4-4085-b9f1-85ac84fe3c99
77,pop,-0.9448,-1.4115,-0.2972,6e5fe8df-c66c-412d-97d7-2ace0f9af571
78,rock,1.4478,1.2256,-0.0868,70a85a9d-e469-4652-9e4d-9f1cb9b1663c
79,electronic,-0.8539,-0.8222,-1.655,75f38e9a-879b-4788-910a-4b6f651d0d3c
80,hip-hop,1.3872,0.4153,1.5162,7665833f-50fa-4874-87b3-3dc14c2f8716
81,electronic,-0.9044,-1.3673,-0.4252,766e73de-3ccd-46f9-b44c-1a5ed3099c9d
82,pop,-0.9044,-1.3673,-0.4252,766e73de-3ccd-46f9-b44c-1a5ed3099c9d
83,country,0.7815,0.7247,-0.252,79496f72-beca-4a4c-93e7-cfe250f4a098
84,pop,-0.8237,-0.2182,0.6546,7a33afb2-ef32-4755-a226-774fdc62981e
85,rock,-0.1069,-0.2476,-1.0592,7a7f0078-3969-45a9-b31f-55e55cb20a7f
86,electronic,1.5184,-0.174,0.5634,7ae599c4-c020-44b3-ae40-aeb763f14ee8
87,country,0.8925,1.152,0.2727,7bf8d5e5-8509-4289-b8a8-c6f53d157803
88,country,-0.0059,-0.0708,-0.2729,7d887cae-5ffd-4f70-a91c-82ba860f157c
89,hip-hop,1.5285,2.1538,1.6178,7dcc424b-15cc-4f48-9912-b59cb86205bb
90,rock,1.4982,1.3877,-0.8728,7fc419b7-e88f-40ba-ac04-2da317b9f5a6
