,genre,gray_max,gray_med,gray_std,hash
1678,hip-hop,-0.8136,-0.1003,0.5448,411bdc36-9ef5-44d8-8f8e-601c3cca73d1
1679,electronic,-0.5814,0.0175,0.2399,41574304-94e1-387d-b3d8-a8369629b974
1680,electronic,-0.9044,0.5627,1.8206,42d30423-b028-3bd9-a496-07a8930e7646
1681,country,-0.4501,-0.616,-1.2777,4393e18a-0e72-4ce2-af04-215ad7b1372b
1682,hip-hop,-0.5713,0.1943,-0.2539,442aa402-da35-43db-8e3f-8b1c940bc6d9
1683,hip-hop,-0.9246,-1.3084,0.5534,44454b0c-655b-441c-8ce5-495ee94f9ea9
1684,hip-hop,1.5285,1.7413,0.7848,4549d6f5-7add-42c8-8409-64396f7283f0
1685,country,-0.6218,-0.1298,-0.2,4580b10e-0ce6-4a3e-bd6e-edcb617ad013
1686,hip-hop,-1.0256,-0.7044,0.35,4952c8bc-4ffb-315b-a6c6-26d23c4df873
1687,country,-0.5713,0.1796,0.2642,49a45cad-e606-46da-b899-635968c91051
1688,rock,-1.0256,-0.1592,-0.3998,49db129e-0d80-4877-aaa3-d0b87a84ed0d
1689,hip-hop,1.4175,1.314,1.5783,4c79a8dd-e98e-4f2c-8d9d-8d05a8a5ad72
1690,hip-hop,-0.9448,-1.3673,-0.0445,4cb7e36a-21ca-41c5-a67f-b5ab8697f3b2
1691,rock,-0.7934,-0.9548,-0.2021,4cd203d6-a210-319f-ba60-cbfc3abc8d4b
1692,pop,-0.1776,-0.4097,-1.3039,4de9aa3b-f74e-3535-86f3-288d9d0e8f7a
1693,pop,1.5487,1.4024,0.5805,4e49fc3b-cbda-4a44-8b63-277ae20f5487
1694,electronic,0.0344,-0.0266,-0.7016,4e50573e-d62c-44b4-b56e-2cf56178f7c3
1695,hip-hop,1.5184,0.6658,-0.2845,4fd0fa3a-b6cb-4410-b6f7-ebfafad817fb
1696,hip-hop,-0.7631,-0.4539,0.928,4fe870ce-0840-4a17-9f2d-793a7ce5b4c2
1697,electronic,-0.8237,-0.5423,0.6274,504087c0-564f-4811-9244-2da62b80fffa
1698,pop,-0.5915,0.9015,0.0997,50d2e573-2e07-32c8-8d05-2ffc23d78976
1699,rock,-0.8035,-1.2053,0.4256,50f0515d-2eb7-4b99-86a1-c9b6bad7da72
1700,hip-hop,-0.6924,-0.2329,-0.0509,514ec58f-371f-4a2f-9512-1ea61c1a3a0d
1701,electronic,0.6603,0.5185,0.4818,51bbc5bf-5023-4376-bab5-175d477b08a6
1702,rock,-0.6722,-0.395,-0.7674,54463d76-26ec-4e40-8176-f4798663f85e
1703,rock,0.2969,0.3711,0.7701,559e0a72-c8b4-422f-b16d-5cee0267e854
1704,hip-hop,-1.0256,-1.0579,0.9271,55b8f51d-1253-42dd-9e19-37db78346d43
1705,hip-hop,-0.6722,-1.0285,-1.1794,55c24dc9-d6bf-4fd6-b306-2b3f40c62927
1706,country,-0.8741,-0.4392,1.0494,5661af4b-3c79-4962-bc31-55714d774af2
1707,pop,-0.7126,-0.9253,0.0213,57496cb6-14bc-4d9d-b537-bc33a7e7b0b7
1708,pop,-0.9347,-0.5865,0.2645,57ae0201-1852-4cf5-8f37-2be2953edbff
1709,country,-0.0968,-0.2034,-1.3731,57ae7578-e4c9-4f20-9c31-6085597843a5
1710,country,-0.0867,0.2533,0.0988,5965201a-bf72-40da-a28c-610d53213bd7
1711,electronic,-0.4804,-0.0561,-0.0422,5a143b4f-721e-4297-bd87-be7fccc08d40
1712,hip-hop,-0.2179,-0.3508,-0.8154,5c1acab3-aa2a-41e9-85a1-a42d2c5f623d
1713,country,0.7714,0.5627,-0.4166,5c2103db-5dab-469f-9697-02c9e542ad4a
1714,country,-0.1978,0.0765,-0.8204,5c9b73ce-a524-4549-a874-684db3b2f3f8
1715,country,-0.6319,-0.4686,-0.271,5dd49400-261e-4de8-8e16-7496e058d875
1716,electronic,-0.8338,-0.2476,0.4207,5e7c06da-2f21-4af2-a650-1aef5482bb06
1717,hip-hop,-0.7328,-0.6602,0.5878,5e8772b4-2bc7-4c8d-b640-a878544abbf3
1718,electronic,-0.3997,-0.6454,-1.4958,5ed35067-1689-477b-a9f6-f2741630ffde
1719,rock,-0.4098,-0.0414,0.212,5f238474-08ee-4a47-affb-fe165492c243
1720,electronic,-0.5915,-0.9253,-0.9208,60f2436e-ea12-4b16-acd3-ea8947689e75
1721,rock,-0.9549,-1.3968,-1.5088,6137f03f-be09-418d-9b5a-9799531f635e
1722,country,-0.7631,-0.9106,0.8784,6178feca-327d-4721-a8b7-90a3d055444f
1723,rock,0.5897,0.3417,-0.575,61cf4e81-a46a-4650-ba8e-8a5f393069ef
1724,electronic,-0.5006,-0.7633,-1.3792,61d93407-3397-3dc6-a89a-1922e426432e
1725,hip-hop,-0.7025,-0.8369,-0.2758,622cb13b-dde2-4028-a00e-9f8fa6d4cbb2
1726,pop,-0.0665,0.0175,-1.0081,62d50ebe-a619-400e-9476-1f826ae56bd5
1727,electronic,-0.8539,-0.7044,-0.5861,6392069b-04e4-4a65-8eec-e724e6fc9980
1728,country,-0.652,-0.9106,0.8309,6445dabe-2389-4dd8-94a6-9f22e8e254d6
1729,pop,1.5386,1.1962,0.4322,65b0070a-c690-4cef-8790-59959643dcd2
1730,pop,0.8017,0.5479,0.2406,671a5f12-61bb-4521-9700-cc2bd604fc1d
1731,rock,0.4685,0.6805,-1.1049,68848990-bfd2-35da-a3c6-8909e6705efd
1732,rock,-0.6016,-0.7044,-1.0327,691a0dbc-675f-46a6-85d4-714227736621
1733,hip-hop,-0.9852,-0.2624,0.7123,695d4216-6879-4799-a9f0-59ae2ba8436f
1734,rock,1.3771,0.1354,0.2583,6ad1fb1a-3e4f-4e74-9c0a-f7a91df05927
1735,pop,-0.7227,-0.9843,-0.0304,6d969bc3-6575-44e7-87eb-a2142c20163d
1736,electronic,-0.9852,-1.3673,-1.6235,6da3c2e5-cfe5-458f-a202-8d4dc6473981
1737,rock,-0.9751,-0.9695,-0.2484,6dc25b94-413f-420f-8dd4-e94588bc9adb
1738,rock,-0.8539,-1.2937,0.7843,6dc34966-5167-48d9-a5ca-e847335b3df1
1739,pop,-0.8539,0.1059,1.3088,6fe224e2-7860-417f-8a80-6884ae9f666e
1740,rock,-0.7429,-0.9843,-1.1906,6fe692c4-d017-4a2a-9ea7-d04e4dbc21a8
1741,electronic,-0.9953,-1.4852,-1.2482,72dcae5f-ebad-4fe1-8d39-ba76e5ffbd34
1742,rock,-0.8035,-0.6307,0.2235,72ecfdff-9984-431d-a57f-c077a3a9a928
1743,country,0.8925,0.8131,-0.2945,73aa6d00-2f10-49df-8973-6d6c0830d167
1744,electronic,1.4377,1.5497,1.9063,73cd4dca-6b27-4099-86f9-9a1b2e1d49b9
1745,country,-0.8539,-0.5865,-0.3388,769851a8-4db9-43e7-ac73-a8a500c87cb2
1746,country,-0.2785,0.047,-0.2427,77eb7450-2a76-4d5d-8326-29c2806584d8
1747,pop,1.5487,1.1225,1.7752,79b2586c-db89-3a89-9ea9-eb7891cd2470
1748,country,-0.8338,-1.2495,-0.8744,7ad8d82d-c04d-45a6-8054-c7fccbaa6ca9
1749,rock,-0.652,-1.0137,-1.2045,7c1fdf37-22dd-4c9d-8c7e-c75c0adaf135
1750,hip-hop,-0.8842,-1.1316,-0.1993,7ca7c6a0-5d15-47bc-8d20-f8938e2c5b98
1751,hip-hop,0.1455,0.1649,-0.2849,7ce9ff8b-5829-4ac6-8c28-beef36e57d28
1752,hip-hop,-0.9852,0.5921,0.1563,7ee8163b-b2a4-48bb-9a58-8dc0bd35c25d
1753,country,-1.0256,-1.4852,-0.4638,802eacdb-5e55-4afb-9e4f-9cb69ea7fae6
1754,rock,1.5386,0.1059,1.4704,841e4e74-0d2f-4e4a-b576-3bd40688d37c
1755,hip-hop,-0.9347,-1.1169,-0.9802,84ec0dd0-2f25-47f0-b9c8-41dd1223395d
1756,hip-hop,1.2862,1.8149,-1.5994,859cb129-6af0-4caf-a35b-7ee2a4722630
1757,country,-0.6621,-0.7044,-1.0065,85a82e6b-f8dd-44cd-8d1b-a1f31d57323e
1758,pop,-0.864,-0.0119,1.0285,85c723d5-8982-4320-93fb-7ecaa4050309
1759,hip-hop,-0.016,0.3711,-0.6539,8b9cec60-1eea-4e08-a56e-c2865a2344ea
1760,pop,1.478,-0.1592,1.1777,8b9ecb86-ae0e-4917-b4f6-3ca2a1a4e06b
1761,pop,-0.6621,-0.999,-1.2002,8bdf2a9b-3352-42cf-8986-e8339630d789
1762,rock,1.5487,1.9623,-0.8682,8e1b1ebe-55a9-4a69-a373-559d9f6b5afe
1763,hip-hop,-0.9448,-0.616,1.8524,8e8a352f-7734-375a-8a6f-ef51429efef2
1764,electronic,-1.0256,0.1649,-0.0711,8eff05bc-c23b-47b2-bfb6-f19e3f2a4700
1765,hip-hop,-1.0054,-1.1758,-0.2558,8faa11f6-e940-4769-be7e-533f8502ac30
1766,hip-hop,-1.0054,-1.0874,-0.3777,901d5503-1e60-4a57-a1e9-b4cae9912b5c
1767,rock,-0.9044,-1.2642,1.7167,904e402c-b0ac-395c-99d7-10dd7556d34f
1768,pop,1.5487,2.198,-2.1466,92d960d2-7157-43fb-8ac4-85184cd40ff1
1769,country,-0.8338,-0.1298,0.291,9304f576-fcc8-44a2-99d3-2e1d8a13278f
1770,pop,1.3771,0.2975,1.6584,93106e91-6421-4ff6-b375-a8c1b2fbb56a
1771,country,-0.7631,-0.2918,0.1606,937eeb19-d279-420d-a2ad-3a767f28ef4d
1772,pop,-1.0155,0.1649,0.7274,938cf075-d409-4163-bdae-539b63da064c
1773,electronic,0.2868,0.3122,-0.1185,98f8bfc2-155e-36d2-a154-b6973f83e825
1774,rock,-0.2583,-0.5128,-1.2166,9b18fa65-1210-399d-af57-ddc4e288e494
1775,hip-hop,-0.9953,-0.2771,-0.1702,9dca5629-19ec-4f23-90b2-7281f9f067e4
1776,pop,1.3266,1.2109,0.0619,9f8af135-0e2a-4178-9258-f23c480e0e78
1777,hip-hop,-1.0155,-0.4097,-0.3396,a353eccc-9a29-4219-923d-03cd8601418d
1778,pop,-1.0256,1.535,0.562,a3b0f6f3-2d38-46d7-bc63-7c39fc0223de
1779,rock,-0.8338,-1.2789,-1.8841,a3f97376-a998-3065-8346-2c41bf6c79fe
1780,pop,0.1051,0.268,-0.5364,a4dd2043-ddb2-49eb-99d2-e0bf693a25db
1781,rock,-1.0054,0.1501,0.72,a5f07a17-83bb-4489-9570-a99f71f479f5
1782,country,1.2257,1.314,0.6181,a6281a9c-d4c4-4253-ba9f-bc46a6f8c6f3
1783,electronic,1.3468,1.4613,-0.6464,a66fb9a6-a459-4e75-90a4-9eb7e33ad88c
1784,country,-0.4098,0.0912,0.4456,a6776af7-3f16-4d25-8a09-8b1090492fa2
1785,electronic,0.0344,0.6511,-0.9086,a8aff6b1-bc6e-4ce9-8c67-0d95d0864a3b
1786,country,-0.0564,-1.0285,-0.7488,a9f43acb-3c16-4b45-9a5d-ea9d9c57b3aa
1787,electronic,1.5487,0.6363,1.8731,a9f4c945-142c-4b74-a580-1ff75bb73794
1788,electronic,-0.5006,-0.6896,-0.5616,aa47ed39-de8b-314a-a425-3bc0575ba4f2
1789,country,-0.7126,-0.616,-0.6262,abe45edf-b97a-40e5-8f2c-b8edd6a76f59
1790,hip-hop,-0.9044,-1.1021,-0.4343,ac0c197a-5bcc-4922-bca6-c7a5e88f14e3
1791,pop,1.5487,0.9162,0.8378,ae52edad-135d-46f6-a359-c289b7a37b89
1792,hip-hop,1.1752,0.9015,-0.4635,ae54b2ea-d922-4dda-a2b5-42beb485c358
1793,hip-hop,-0.9044,-1.0727,0.0393,af2f0ce3-3830-4695-a625-621a37f7abd5
1794,electronic,0.519,0.5185,0.1228,b296dcec-6745-42a3-81df-f933af14f689
1795,pop,-0.7833,-0.5128,0.3029,b2bfade3-7153-458e-9772-fe00b06b9366
1796,electronic,1.266,0.3564,0.9489,b2dd7119-07ce-435b-8037-1e3f978cc5b4
1797,hip-hop,-1.0256,-1.5441,-1.2893,b34a248f-7b04-42e4-b4e8-72121d1a07ae
1798,pop,1.1853,1.3582,0.1852,b4cb8e35-483a-49b6-95d7-33b63c816226
1799,pop,-0.7126,-1.0727,-0.1529,b4d222b7-af54-4833-ba4b-0be975590788
1800,pop,1.4478,2.0212,0.9969,b5208a21-2421-4e5f-832b-736ee35c1d4c
1801,pop,1.478,1.8886,-0.1287,b73f4fe0-8676-401f-b38e-9b117d6e2f8e
1802,rock,-0.3896,-0.557,-2.6296,b7aa8ea8-8ae3-4c2f-93e5-82cb629186b9
1803,pop,-0.2785,-0.2771,-0.4412,b80145fa-65f2-48c4-bf77-bdeb189e7a69
1804,electronic,-0.3896,-0.557,-1.0219,ba37504f-0ea5-4b8a-9634-4511f1abcd18
1805,rock,-0.8439,-0.5276,1.3384,bb5c3365-0bd1-46e3-9fb7-0c65fedd1179
1806,rock,-0.3593,-0.5865,-2.123,bb8c0aca-2571-4cc0-b65b-59b063c4cde8
1807,country,-0.652,-0.8075,-0.5953,bbcaa102-9684-4b20-92c8-2c629bdb3cff
1808,rock,0.9834,1.1814,0.7475,bbf6ecfb-cb4f-401c-9d05-2b6c22d1366d
1809,pop,1.3771,1.9033,-0.1109,be221ac8-1c09-4731-9f7e-b9ce8d8289a2
1810,rock,-0.2785,-0.4686,0.7997,beb510ae-b8df-4bef-bc12-914d62da9212
1811,country,-1.0256,0.0765,0.2778,bf62431b-5964-4d05-aaf8-100aa1c62613
1812,country,1.5083,1.6823,2.6001,bfa897b5-f025-4181-a4e5-cc02975cd70a
1813,hip-hop,-0.7328,-1.0727,-0.3043,c015122f-47c8-3cf9-a142-d9877268d8d9
1814,hip-hop,1.1651,1.2256,0.1203,c40fc782-74ae-461c-babf-c659fd09bdcb
1815,hip-hop,-1.0256,-0.7338,0.8052,c45134d1-697f-4a36-b039-d96ecfc62d80
1816,electronic,1.054,1.3877,-1.1833,c547ae44-b88e-33ef-ad40-5915e8b952c1
1817,pop,-0.7328,0.1059,1.1397,c5e01a98-0458-4df7-89f8-f0504c59305c
1818,country,0.1354,-0.3066,-1.2598,c6a8ead9-ebb6-4cb2-a699-a8bd60d58ce0
1819,rock,-1.0256,-0.8811,-0.2584,c6f6cd10-d0eb-4898-b374-a648fb998043
1820,country,1.478,0.9162,1.3236,c8224320-6efa-4214-b7e2-17ae2dc276b7
1821,country,1.2459,1.1667,-1.5257,ca63d55c-65de-407c-af76-4f6eca461e6a
1822,electronic,-0.117,-0.2182,-1.541,ca8d5e03-c28b-449e-a166-e8654f76a468
1823,hip-hop,-0.7833,-1.1758,-0.7583,cb3a8a2d-3d72-4751-997c-43617e92eae0
1824,country,-0.864,-0.0856,0.7198,cb3b9aa6-d5e4-49be-a9d3-0d2b6b70df6a
1825,rock,0.9329,0.5921,0.1327,cbf65424-7e68-4aa7-847a-a2a893482001
1826,electronic,-1.0155,-1.5441,-1.3576,ccc60907-ef3f-4b21-ae1a-c98050b36490
1827,pop,1.5083,1.1078,-1.1051,cd2699c3-5825-45fa-9133-facb02651524
1828,country,1.5487,0.5627,1.0126,cd41afa6-5690-48bc-bd9f-d24f65a24828
1829,rock,1.4881,0.1649,0.5053,cd55a71e-f62e-4141-982e-e94e49780d57
1830,country,1.1348,0.931,-1.1945,cda51c25-adb9-4781-b644-90333137138b
1831,rock,1.5487,0.0028,0.1224,cf1abe07-1fbe-471f-98b2-350c17d8a92e
1832,hip-hop,-0.7732,0.6511,0.4843,cf8d011b-6c7e-41f9-92d7-0c944f9a6988
1833,country,1.5487,-0.8075,2.2001,cfc7bc24-0b62-4340-ac26-742692a5df93
1834,rock,1.367,1.0783,1.3098,d0ca88b3-9aa7-4992-b352-e571a7a949ad
1835,rock,-0.8035,-0.7338,-0.1349,d0e9b71c-a297-42f1-bbc4-b9619d61d378
1836,electronic,-0.7934,-0.9843,-1.5191,d1d76d6e-6682-4139-84df-63c3c37a7a1b
1837,electronic,1.1752,-0.3508,1.402,d1ede144-86bb-4ee8-b68a-2b757fad7aea
1838,pop,-0.7732,-1.0432,1.2354,d20ffec8-f9c5-4592-8f7e-e17722b468ab
1839,country,1.5386,0.3269,1.6855,d21770fe-5235-4bba-9289-f8e3c2b39282
1840,pop,-0.6319,-0.5718,-0.7883,d3076261-11f4-4453-957c-c40d218d6eb6
1841,hip-hop,0.2363,0.2385,-0.8147,d4fa13fd-2dc4-4649-93f1-a92e252b5cab
1842,hip-hop,1.5487,0.1649,0.5779,d5e23383-b40f-4d6c-b1b7-640c528a345a
1843,hip-hop,-0.8943,-1.3231,-0.0337,d749fc6c-e0d7-4014-86c8-93acc26e06d7
1844,hip-hop,-0.9347,-1.4262,-0.8933,db470570-67e1-40f0-afef-9e089b28cabd
1845,country,-0.44,-0.4686,0.4496,db73a130-3e93-497a-9623-c9e004bdf5ca
1846,hip-hop,-0.9852,-1.0579,-0.3889,dc6cf782-c1e0-3a82-9cf2-5673abffa3c1
1847,pop,0.3474,0.4595,-1.0592,dd586897-13ec-4711-a776-8e23bc102da5
1848,rock,-0.7227,0.3859,0.074,dff3b60f-e073-41c2-9dba-b53f9aa2f4c6
1849,electronic,0.0647,0.2238,-0.0287,e3d59256-e0e5-49e4-b9a0-1d40a2f2731b
1850,electronic,-0.6016,-0.7338,-0.9362,e46231f7-05dc-4f57-aa0b-9382d8b9014c
1851,country,-0.1877,0.0912,-0.8957,e52596cc-dcd4-4aba-99b1-f600f13cb0c2
1852,electronic,-0.3189,-0.115,0.1199,e5d9160a-377f-4917-97b8-ef86bea3e5d3
1853,electronic,0.519,0.4448,0.2695,e6215166-075f-4c9e-93db-d3d028dd8fe1
1854,hip-hop,-0.7934,-0.778,-1.1851,e6c1d12a-b5c8-4dcf-b4f7-13bbe83a4f7d
1855,country,-0.8943,-1.0285,1.2515,ea00ca01-d90c-46cf-bbb9-72e3ff483fe1
1856,pop,-0.0968,0.0175,-0.8497,ea3d0f5e-e899-4bc7-b9af-491ada33736a
1857,rock,-0.3088,-0.4539,-1.0928,ecc423ac-6a69-419f-8f2e-a4703856c9a0
1858,hip-hop,-0.6722,-0.9843,-0.1611,ecf3abb7-4787-4826-8cff-37a633238211
1859,electronic,-0.9448,-0.8369,0.0259,ed0aa360-03b8-4db0-8b2c-b440253b03ef
1860,electronic,1.468,2.0359,-0.0637,f0781963-a86c-44b8-b6f3-6f9982832e3d
1861,country,-0.7732,-0.9843,-1.2838,f1d5655c-7498-4f91-9c52-6678302acb69
1862,pop,-0.6319,0.6363,0.9365,f1eefc35-fa38-4cc7-b623-f827811a0a04
1863,rock,-0.6319,0.6363,0.9365,f1eefc35-fa38-4cc7-b623-f827811a0a04
1864,rock,-0.7732,-0.2034,0.2244,f209bc70-c1f6-45e6-a3bf-35597111336c
1865,rock,1.4478,2.0359,0.734,f4d16816-8381-4a60-9b0d-fb677dc6af6d
1866,rock,0.3474,0.4448,-0.5206,f52e83c2-5d09-477b-bf3b-80a97a1a23a9
1867,pop,1.0238,0.1649,0.6699,f6205e4f-c184-400b-9b91-73ed518f9aa6
1868,electronic,1.054,1.373,0.1765,f727f921-e14a-4547-9469-569216db0600
1869,hip-hop,-1.0256,0.2238,0.7078,f76266f5-fdf8-4adf-80f2-1a718ec86fcd
1870,country,-0.3593,-0.7191,-1.2144,f7e02c76-ec99-4e4b-9095-48dd6e2be26e
1871,electronic,-1.0256,-0.1445,0.0329,f843a359-0401-40d8-9627-3486d6fc7ab5
1872,rock,-0.5511,-0.8517,-0.7088,f90e3e8e-f67c-47c5-9c6f-cdbc03c56a5c
1873,hip-hop,-0.8136,-1.1758,-0.4823,fc2b355e-ad8c-4f20-bc77-b4e1bc03704f
1874,country,0.307,0.3711,0.0054,fc474406-9054-4f05-a379-3cb5aec8d995
1875,pop,0.307,0.3711,0.0054,fc474406-9054-4f05-a379-3cb5aec8d995
1876,country,-0.9751,-0.9253,1.7152,fd0b9607-22fe-4648-9e94-2615077f3120
1877,electronic,-1.0256,-0.3066,-0.5501,fd292f0f-f779-4923-bd7f-b3d8ae416fa4
1878,rock,-0.2785,-0.395,-1.9612,fd6d5f26-6b60-4685-9563-e7f940574cff
1879,rock,1.5285,1.1225,1.581,00e3f7f1-e444-46a0-ad46-b23e33e94f0d
1880,hip-hop,-0.9751,-0.9843,0.5092,050509cf-d549-4578-8590-9e68fb8f9374
1881,hip-hop,1.4276,-0.2329,0.834,061721c8-6fb2-4085-ab27-cd4be3ba8332
1882,rock,0.8017,0.7247,-0.564,069907e0-b34c-41d0-8d20-9f487b5bb507
1883,country,-0.9852,-0.8075,0.4774,08578f20-4604-45d7-9c33-c5af64eb5768
1884,hip-hop,-0.8539,-1.1316,1.1783,08cae343-f3e7-4f8d-a9d0-49a79a409083
1885,electronic,0.7007,0.3564,-1.4158,08eba0cf-3a36-4655-9bff-ce2518934a21
1886,country,1.1449,0.9899,0.4424,09cdc71c-ed69-3be2-a587-cf475e3612db
1887,electronic,1.4881,1.3582,0.3497,0c85ff69-f72d-4ddd-a70b-479e32320f23
1888,rock,-0.7631,-0.4834,0.2788,0ca14d7e-1348-444d-8f01-bd9f3a9e6419
1889,pop,1.5487,0.4006,2.1081,0d6cf7e2-5ed6-4514-bc51-f29e9d8a6617
1890,rock,1.4881,0.6511,-0.2461,0e34d781-acbe-4ef5-bea3-43ffbf897d52
1891,rock,-0.4199,-0.2918,-0.5607,0e8f9202-9119-43e7-81f4-cfe5b9f8645e
1892,country,0.307,0.3859,-1.2775,0efb51b9-b587-4cc2-ae11-fda10fd157f8
1893,hip-hop,1.5487,-0.9548,0.7309,10dd2b59-2247-4c56-af2b-c7398efb15b6
1894,rock,1.5487,0.1943,0.2974,1181468a-0e95-49b2-ae85-6562e0283216
1895,pop,-0.5511,-0.778,-1.2193,11ab0a8f-b3b6-4eb1-be27-6b7443bbe6e3
1896,hip-hop,-1.0256,-1.5441,1.3785,11baba9d-d5d8-4100-be1e-7d4f29085908
1897,pop,-0.6117,-0.8517,-0.7478,129a9384-cf22-334f-95a7-3c30bfdf8596
1898,pop,-0.7631,-0.6012,1.5657,132dbfa3-a629-4fbc-a13d-7c11faa1e6e5
1899,pop,-0.753,0.3711,0.7089,1431f74a-5be7-461e-85ec-7690e0f7c1a2
1900,hip-hop,-0.5814,-0.5276,-0.5628,145951ee-3421-4b9a-8a60-f0ec677f8080
1901,electronic,-0.7126,-0.1592,-0.4195,15a9376e-5407-44cb-adaf-55242c494cca
1902,hip-hop,-0.3492,-0.3655,-0.2981,15e24135-5c82-4cea-b284-699779fae4af
1903,rock,1.4377,1.0194,0.8509,16b7ffc6-b7c4-4b37-a502-70e71a3d2342
1904,hip-hop,0.5695,0.7247,-0.1762,17208836-5136-466d-bc2c-c258f4b9108d
1905,electronic,-0.7934,-0.7633,-0.5268,190147d5-6280-42dc-8410-a43231c6fd55
1906,rock,-1.0256,-0.4097,-0.5768,1904d548-8aef-4fd4-96de-ee814f2ed8a2
1907,rock,1.5285,2.139,-1.5659,19418e86-9529-4573-831b-edab8f9a85ed
1908,rock,-0.7025,-0.6307,-0.6392,19b18a34-9655-4f3f-b56c-09f3e39aa7ba
1909,country,-0.8338,0.0323,-0.5854,1b08b756-66fc-46fb-9dfd-f8fec043fd03
1910,electronic,-0.9347,-0.4981,-0.2478,1b7d94fa-11a4-42df-9877-bedb5df7a4b1
1911,hip-hop,-1.0155,-1.2937,0.562,1b8e6d00-6f22-3817-9665-2f3fa4d6fbfb
1912,rock,1.5487,2.198,-1.2237,1b9fb925-3b26-4d3c-9449-96c218205750
1913,rock,1.3064,0.4153,0.0457,1bde6682-4204-4a24-a62e-11844f0fee5d
1914,hip-hop,-0.2684,-0.3655,-0.8824,1d542ad0-d707-430e-885a-bf808f5c0398
1915,hip-hop,-1.0256,-0.3655,-0.1583,1dcdd8f7-e104-4c0c-8bf7-b67fc09675e0
1916,rock,-0.9549,-1.0137,0.6226,1e21ea40-21dc-4365-8736-26fb0be6ce9d
1917,electronic,-1.0256,-1.4115,0.2017,1ed0e83d-2db5-4707-8d68-b379613eb27c
1918,hip-hop,-0.7732,-0.9548,-0.589,1f61f256-9556-45cd-97c9-eb65f58918e8
1919,electronic,0.6805,0.0912,-1.076,1fac0c52-7bec-48dd-b2c4-43d66604a47c
1920,electronic,0.9228,0.1354,0.1935,1fc71790-f3d8-4e64-8b4d-0cd151213788
1921,rock,1.1752,0.4006,0.4148,2025a128-8438-4fd8-875e-aa4c49551391
1922,hip-hop,-0.8741,-0.7191,0.1131,2326205e-b0fb-4378-9370-d98b1ee974cd
1923,country,-0.9044,-0.9253,-0.0269,23ac7817-5467-4c33-800f-4998ea981b9f
1924,pop,-0.2583,0.0028,-0.1264,24a4a9ee-1707-48fa-a140-e73779562f3c
1925,hip-hop,-0.8338,-0.4981,-0.5114,271f7505-afdc-4269-9ee4-6a1ef20dc3ba
1926,hip-hop,-1.0256,-1.3084,1.2832,274942c3-0016-4c67-99eb-929f909f0a55
1927,hip-hop,0.196,0.2091,-1.9759,2775500e-5251-40ee-a5f2-4a3808d02438
1928,rock,0.7512,0.7247,-0.4216,27ac9838-f74d-452c-a579-71162c6bdfc6
1929,hip-hop,0.3272,0.4153,-1.7821,2889a5b8-bd1b-4de2-88c5-8b368ecf265a
1930,rock,0.3878,0.3122,-1.3299,28d4a37b-44b0-3633-9d84-bde87b265adf
1931,country,-0.9145,-1.1021,-0.1144,29600d24-99c1-46a3-b1ca-04c97ecdedbf
1932,rock,1.2257,0.6805,0.2141,2a758a27-9c2c-4465-a172-f09e641327bf
1933,hip-hop,-0.6218,-0.6454,-1.5092,2a966d32-ec09-4286-a877-b56a9d670826
1934,rock,-0.3896,0.1059,-0.7007,2a99c922-e7aa-4904-bcab-9ac74e07e9c2
1935,electronic,0.0445,0.1059,-0.9166,2ac85c72-f515-4e09-b003-7fd58e687690
1936,hip-hop,0.0142,-0.1003,0.0096,2bc422fd-98c0-45fa-8542-4f71ad631a25
1937,hip-hop,-1.0256,-1.1611,-0.6942,2cdb3f80-79ce-4b39-aae4-1eeee996d13e
1938,hip-hop,-0.1271,-0.336,0.4846,2e8a0e8a-5a81-46a5-90bf-8e63d4631649
1939,rock,-1.0256,-1.5588,-1.197,3024185b-df8a-41e5-862d-efb2a460f088
1940,electronic,-0.8237,-1.1758,-0.7077,302b15bf-5f05-4e56-8d9b-be73c4c13edf
1941,hip-hop,1.5487,1.4024,1.1849,30fcf7a4-be19-3c6b-a981-cd064b7cb6df
1942,hip-hop,-0.0059,-0.2329,-0.0958,3161f7c7-72cb-4074-b8f2-5eb6a45e2be7
1943,pop,-0.9145,-0.5128,-0.4828,319da25f-2d08-3d49-9047-2af194877320
1944,country,-0.6117,-0.8517,-1.4198,31affda3-cca9-4bf2-8a41-29c1b6b33b87
1945,country,1.5184,2.139,0.7371,31fda485-ebd0-3a3c-a8c5-1543839aee09
1946,electronic,1.5184,1.4761,0.0739,32910935-d8f4-4887-91cf-305de3d53284
1947,country,-0.8539,0.5332,1.6352,345129c7-400f-480e-a0b8-145ac9754111
1948,country,1.1449,1.1814,-0.4756,37572e05-818c-468c-83c7-2d1a2119ec35
1949,electronic,-0.8842,-1.22,-1.0273,3a170f9a-b0a5-4cb4-8b0e-92bbbccfd1af
1950,electronic,-0.5915,-0.9548,-2.7928,3b4de343-8726-4baf-b3fc-6a731556897c
1951,pop,-1.0155,-0.4686,-0.7143,3cb3bdb4-412c-463c-a66b-0f21b84bce52
1952,electronic,1.4377,2.0359,-2.4424,3d66c5a7-281e-433a-afff-438be978f194
1953,hip-hop,-1.0155,1.0636,2.2097,3fb4454a-64b6-4981-8748-4cdd889fe04b
1954,pop,1.2963,1.756,-0.1948,40da8ec8-fa41-4df3-bd34-1f6c6a488ead
